CODICE M;DESCR UP;DESCR DN;TIMER UP;INPUT UP;INPUT DN;OUTPUT UP;OUTPUT DN;MSG
162;AVANTI SELEZIONE FORATURA ANUBA;INDIETRO SELEZIONE FORATURA ANUBA;70;SM0049;SM0050;YV0058;;97
164;AVANTI SELEZIONE PINZA ANUBA;INDIETRO SELEZIONE PINZA ANUBA;71;SM0051;SM0052;YV0059;;99
166;AVANTI INSERITORE ANUBA;INDIETRO INSERITORE ANUBA;72;SM0053;;YV0060;;101
168;BLOCCO FRENO PNEUMATICO ANUBA ON;BLOCCO FRENO PNEUMATICO ANUBA OFF;73;;;YV0061;;103
170;DISCESA SELEZIONE PANTOGRAFO VERTICALE 1;SALITA SELEZIONE PANTOGRAFO VERTICALE 1;74;SM0045;SM0046;YV0062;;105
172;AVANTI SELEZIONE PANTOGRAFO ORIZZONTALE;INDIETRO SELEZIONE PANTOGRAFO ORIZZONTALE;75;SM0047;SM0048;YV0063;;107
174;DISCESA RIFERIMENTO ANUBA;SALITA RIFERIMENTO ANUBA;76;;;YV0064;;109
176;AVANTI CHIAVE ANUBA DOPPIA;INDIETRO CHIAVE ANUBA DOPPIA;77;;SM0104;YV0130;;111
178;DISCESA SELEZIONE PANTOGRAFO VERTICALE 2;SALITA SELEZIONE PANTOGRAFO VERTICALE 2;78;SM0106;SM0105;YV0131;;113













